,Salinity,SO4,CH4_ug_m2_h,CO2_mg_m2_h,Sample,mcr.H2,mcr.Ac,MOB.I,MOB.IIa,MOB.IIb,MOB.III,pmoA.tot,amoA.tot,amoA.AOA,amoA.AOB,NOB.nxr,DsrAB.red,HydA
75,0.8882483812680937,2.637689819118401,1.4087788771321763,0.41355169983982504,RushMan_CattailNLB_D2,9.038783233614426,6.997429654632166,2.5122913980650394,2.7409947313589385,0.0,0.0,3.6311702288397223,0.0,0.0,0.0,2.8968376573016568,11.62235065470453,11.62760471655547
76,0.9238238181264292,2.9225178602446116,0.9022597364363939,0.17646128472850578,RushMan_CattailNLC_D1,4.870757513986864,4.207743857791416,5.0601663986082945,2.774474975303448,0.0,0.0,5.329303809229556,2.2302688767838386,0.0,2.2302688767838386,3.8642672684749666,9.654448512218542,10.894671045878505
77,0.9238238181264292,2.7988577317474856,0.9022597364363939,0.17646128472850578,RushMan_CattailNLC_D2,7.806524776048969,6.352560932854615,5.391736049741992,2.4734623886199523,0.0,0.0,5.5709737634645125,0.0,0.0,0.0,2.5418448128932707,11.78115805924109,12.236420576379102
78,1.029073725675244,2.6189889203649335,0.5037640765998345,0.5234174201627924,RushMan_ThreeSqA_D1,2.3233281882321304,0.0,3.627819922610247,2.8274442130480235,0.0,0.0,4.282438422796131,6.758283949656015,5.9161908542488115,5.509459990191735,6.270784734276333,9.417556419958164,10.118711820513054
79,1.029073725675244,2.772101569277012,0.5037640765998345,0.5234174201627924,RushMan_ThreeSqA_D2,3.5137531307535332,2.9129373216661563,4.156527949816301,2.1386448583314674,0.0,1.2969595616438017,4.6261009539078914,6.655630773362529,6.315237587994716,4.405286701747591,7.7152346576612425,10.791172851351396,10.203697788355448
80,1.0607239263179293,2.8176975547630243,0.6267525610091944,0.8487886515441552,RushMan_ThreeSqB_D1,2.7277235401292224,2.829839057063024,4.050625935670444,3.023590413848201,0.0,0.0,4.626632770776921,4.87310752697035,4.037623798841439,3.6873868666215928,5.604284935291996,9.468837997850725,10.434482828276636
81,1.0607239263179293,2.9734049744100606,0.6267525610091944,0.8487886515441552,RushMan_ThreeSqB_D2,4.064207083342635,3.260549341094133,5.7958583393031216,5.201742067355499,0.0,0.0,6.529169391603712,6.0744720183754985,5.70235544582698,3.937470884952606,7.151306018643956,10.717049748378784,10.486263754173113
82,1.0676860026546837,2.847140617413406,0.517718884677542,0.7327198190088359,RushMan_ThreeSqC_D2,3.8243991810637112,3.636846121291493,4.3398928335294205,4.519283214464748,0.0,0.0,5.4323744928487425,5.681980034614336,4.817582285554066,4.532297321501526,6.865492319286094,10.452302162346426,10.44166887607497
83,1.0366512745230736,2.7895102040902544,0.7042065435652511,0.8637000224709704,RushOxbow_ThreeSqA_D1,,,1.1560322306377824,5.601540172877616,0.0,0.0,5.666278690038507,6.729084852848275,5.990249202468749,5.409957305098432,6.151176897346566,9.321260053981748,9.80134465640869
84,1.0366512745230736,2.7224693858840308,0.7042065435652511,0.8637000224709704,RushOxbow_ThreeSqA_D2,0.0,1.4113258953495644,1.9998788187061087,4.916581256736306,0.0,0.0,5.096002625514621,5.662316348329978,5.272349367342746,3.5843797696283874,6.624920934565546,10.87635027846854,10.12515293202869
85,1.027233840837343,2.709524355876341,0.6505920557232656,0.6549253150611364,RushOxbow_ThreeSqB_D1,1.1423215050614377,0.0,0.0,2.7390606253994325,0.0,0.0,2.7390606253994325,6.331793754556729,5.830555681036099,4.56322505376896,6.025454633187348,8.814790025164877,9.589081586775652
86,1.027233840837343,2.646599751720373,0.6505920557232656,0.6549253150611364,RushOxbow_ThreeSqB_D2,0.0,1.3233281882321304,3.341999440973162,4.479484215062641,0.0,1.0273220486952748,5.10794958097273,6.801372094469863,5.910808944755253,5.68294737483512,7.563404842495893,8.813983182662493,9.355577390884708
87,1.056867278667028,2.705007959333336,-0.011434036946692188,0.1584123658415186,RushOxbow_ThreeSqC_D1,1.2078043161633596,0.0,0.0,2.2969595616437988,0.0,1.3118751565805025,2.8869110811867316,6.110127897282208,5.229385059456612,4.834219492952399,6.149417304659094,8.117851867832565,9.759833067721381
88,1.056867278667028,2.654465333520146,-0.011434036946692188,0.1584123658415186,RushOxbow_ThreeSqC_D2,,,2.3194404865206693,3.8502890336668534,0.0,0.0,4.2790464977332086,6.927944057647049,6.510379188184617,4.935499711011414,7.432120085397029,9.751706709295796,9.994595606384445
89,1.1826980988572566,2.804480189105993,1.059003210263677,1.3501643913399282,Joice_CattailNLA_D1,,,3.410178044923581,5.925908285854572,1.3496729102859257,0.0,6.208975662021457,5.2142162860112675,4.978262553047804,2.4856565225049843,5.047254932806676,9.51956277187042,9.697750603974658
90,1.1826980988572566,2.896801697664922,1.059003210263677,1.3501643913399282,Joice_CattailNLA_D2,3.9021770843703205,0.0,6.238310551197664,2.3269574297567845,0.0,0.0,6.331141451757291,1.3058918277228848,0.0,1.3058918277228848,5.154210501734437,12.010179645090126,11.493306883984589
91,1.1347115462536046,2.686546899063006,1.2912014120878492,1.2162752473022589,Joice_CattailNLB_D1,1.0862469814828781,1.4342858536141756,2.1386448583314674,6.567943681816614,0.0,0.0,6.633397311350116,5.013212918860766,4.097253898786194,3.9239718377116,5.10566570539492,8.846365963244876,9.804191388928803
92,1.1347115462536046,2.7634279935629373,1.2912014120878492,1.2162752473022589,Joice_CattailNLB_D2,2.9823383942932327,1.1514421544379987,4.771697552857457,4.620547602477241,0.0,0.0,5.698101154702437,4.157892132347862,4.157892132347862,0.0,5.273019405582518,11.613691339492824,11.268104923533881
93,1.1573288430726631,2.8169700377572995,1.5566725133982662,1.0598078928415533,Joice_CattailNLC_D1,1.3022510853830493,0.0,3.523670162242868,4.157027832343531,0.0,1.3964185164804876,4.9987884764319706,6.180471780530777,5.29301144456259,5.058404858559088,6.4163796600606124,9.205325361681037,9.846213277000185
94,1.1573288430726631,2.8335932939984563,1.5566725133982662,1.0598078928415533,Joice_CattailNLC_D2,2.9283508107004934,0.0,5.595154005057442,3.834676970752883,0.0,0.0,5.968273820409204,6.070847179551002,5.765323446360182,3.3398928335294205,6.566313853899558,11.079136325141326,10.033663254310275
