"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"7239"	"k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"Bathyarchaeia"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"Crenarchaeota"	"otu_ASV_6506"	0.415608657847717	0	0	0	0	0	0	-0.230062547575731
"11021"	"k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"Bathyarchaeia"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"Crenarchaeota"	"otu_ASV_9979"	0.415608657847717	0	0	0	0	0	0	0
"3463"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	"otu_ASV_3042"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	-0.524104897885219	0	-0.255782537107564
"5421"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	"otu_ASV_4843"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	-0.524104897885219	0	-0.562884830930559
"6023"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	"otu_ASV_539"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	-0.524104897885219	0	-0.328060212866328
"1589"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_1328"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.3133513249344
"2049"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_175"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.412704339014045
"6296"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_564"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	0
"7755"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_6982"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.241209057504701
"9050"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_8172"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.472744645220908
"9190"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	"otu_ASV_830"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	0
"5233"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosotenuis"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosotenuis"	"Crenarchaeota"	"otu_ASV_467"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	0
"2265"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	"otu_ASV_195"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	0
"4071"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	"otu_ASV_360"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.273904474230957
"9298"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	"otu_ASV_84"	0.415608657847717	0	0	-0.470306029799345	-0.470306029799345	0	0	-0.366616152694431
"579"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_ASV_10529"	0.415608657847717	0	0	0.189257817086436	0.189257817086436	0.196287660712165	0	0.299013228034397
"1088"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_ASV_11"	0.415608657847717	0	0	0.189257817086436	0.189257817086436	0.196287660712165	0	0.275321832441726
"1626"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	"otu_ASV_1361"	0.415608657847717	0	0	0.189257817086436	0.189257817086436	0.196287660712165	0	0
