"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"268"	"k__Bacteria;p__Caldatribacteriota;c__JS1;o__;f__;g__"	"Bacteria"	"Caldatribacteriota"	"JS1"	"JS1CL"	"JS1CL"	"JS1CL"	"Caldatribacteriota"	-0.46	0.28	0.28	0.28	0.28	0.28	0.28
"269"	"k__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix"	"Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"	"Caldithrix"	"Calditrichota"	-0.46	-0.34	-0.34	-0.34	-0.34	-0.37	-0.34
"270"	"k__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__"	"Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"	"CalditrichaceaeFA"	"Calditrichota"	-0.46	-0.34	-0.34	-0.34	-0.34	0.38	-0.34
"271"	"k__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calorithrix"	"Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"	"Calorithrix"	"Calditrichota"	-0.46	-0.34	-0.34	-0.34	-0.34	-0.38	-0.34
"272"	"k__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__JdFR-76"	"Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"	"JdFR-76"	"Calditrichota"	-0.46	-0.34	-0.34	-0.34	-0.34	-0.51	-0.34
"273"	"k__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__SM23-31"	"Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"	"SM23-31"	"Calditrichota"	-0.46	-0.34	-0.34	-0.34	-0.34	0.14	-0.34
"274"	"k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__;g__"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"CampylobacteralesOR"	"CampylobacteralesOR"	"Campylobacterota"	-0.46	0.23	0.23	0.23	-0.14	-0.14	0.23
"275"	"k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurimonadaceae"	"Sulfuricurvum"	"Campylobacterota"	-0.46	0.23	0.23	0.23	0.23	0.23	0.23
"276"	"k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurimonadaceae"	"Sulfurimonas"	"Campylobacterota"	-0.46	0.23	0.23	0.23	0.23	0.13	0.23
"277"	"k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurospirillaceae"	"Sulfurospirillum"	"Campylobacterota"	-0.46	0.23	0.23	0.23	0.12	0.12	0.23
"278"	"k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurovaceae"	"Sulfurovum"	"Campylobacterota"	-0.46	0.23	0.23	0.23	0.19	0.19	0.23
"279"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__1-20;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"1-20"	"1-20OR"	"1-20OR"	"Chloroflexi"	-0.46	0.69	0.51	-0.25	-0.25	-0.25	0.69
"280"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__ADurb.Bin180;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"ADurb.Bin180"	"ADurb.Bin180OR"	"ADurb.Bin180OR"	"Chloroflexi"	-0.46	0.69	0.51	-0.2	-0.2	-0.2	0.69
"281"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"AnaerolineaeCL"	"AnaerolineaeCL"	"AnaerolineaeCL"	"Chloroflexi"	-0.46	0.69	0.51	0.09	0.09	0.09	0.69
"282"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__ADurb.Bin120"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"ADurb.Bin120"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.08	0.69
"283"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Anaerolinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.61	0.69
"284"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolineaceae UCG-001"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Anaerolineaceae UCG-001"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.46	0.69
"285"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"AnaerolineaceaeFA"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.27	0.69
"286"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Bellilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Bellilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.38	0.69
"287"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__GWD2-49-16"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"GWD2-49-16"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.25	0.69
"288"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Leptolinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.37	0.69
"289"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Levilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Levilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.25	0.69
"290"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Longilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Longilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.31	0.69
"291"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Ornatilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Ornatilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.12	0.69
"292"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Pelolinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Pelolinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.5	0.69
"293"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__RBG-16-58-14"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"RBG-16-58-14"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	-0.65	0.69
"294"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Thermomarinilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Thermomarinilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	-0.18	0.69
"295"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UTCFX1"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"UTCFX1"	"Chloroflexi"	-0.46	0.69	0.51	0.49	0.49	0.44	0.69
"296"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Ardenticatenales"	"ArdenticatenalesOR"	"ArdenticatenalesOR"	"Chloroflexi"	-0.46	0.69	0.51	0	0	0	0.69
"297"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Caldilineales"	"Caldilineaceae"	"CaldilineaceaeFA"	"Chloroflexi"	-0.46	0.69	0.51	0.51	0.51	0.52	0.69
"298"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Caldilineales"	"Caldilineaceae"	"Litorilinea"	"Chloroflexi"	-0.46	0.69	0.51	0.51	0.51	0.4	0.69
"299"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"RBG-13-54-9"	"RBG-13-54-9OR"	"RBG-13-54-9OR"	"Chloroflexi"	-0.46	0.69	0.51	-0.46	-0.46	-0.46	0.69
"300"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SBR1031"	"A4b"	"A4bFA"	"Chloroflexi"	-0.46	0.69	0.51	0.46	-0.02	-0.02	0.69
"301"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SBR1031"	"SBR1031OR"	"SBR1031OR"	"Chloroflexi"	-0.46	0.69	0.51	0.46	0.5	0.5	0.69
"302"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__;g__"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SJA-15"	"SJA-15OR"	"SJA-15OR"	"Chloroflexi"	-0.46	0.69	0.51	0.31	0.31	0.31	0.69
"303"	"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Thermoflexales"	"Thermoflexaceae"	"Thermoflexus"	"Chloroflexi"	-0.46	0.69	0.51	-0.22	-0.22	-0.22	0.69
"304"	"k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"RoseiflexaceaeFA"	"Chloroflexi"	-0.46	0.69	0.5	-0.31	-0.31	-0.31	0.69
"305"	"k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722;g__"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"AKYG1722"	"AKYG1722FA"	"Chloroflexi"	-0.46	0.69	0.5	0.51	0.4	0.4	0.69
"306"	"k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"JG30-KF-CM45"	"JG30-KF-CM45FA"	"Chloroflexi"	-0.46	0.69	0.5	0.51	0.45	0.45	0.69
"307"	"k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"Thermomicrobiaceae"	"Nitrolancea"	"Chloroflexi"	-0.46	0.69	0.5	0.51	0.42	0.42	0.69
"308"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__661239;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"661239"	"661239OR"	"661239OR"	"Chloroflexi"	-0.46	0.69	0.49	0.38	0.38	0.38	0.69
"309"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidaceae"	"Dehalogenimonas"	"Chloroflexi"	-0.46	0.69	0.49	0.29	0.43	0.43	0.69
"310"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidales Incertae Sedis;g__Dehalobium"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidales Incertae Sedis"	"Dehalobium"	"Chloroflexi"	-0.46	0.69	0.49	0.29	-0.07	-0.07	0.69
"311"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"DehalococcoidalesOR"	"DehalococcoidalesOR"	"Chloroflexi"	-0.46	0.69	0.49	0.29	0.12	0.12	0.69
"312"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"DehalococcoidiaCL"	"DehalococcoidiaCL"	"DehalococcoidiaCL"	"Chloroflexi"	-0.46	0.69	0.49	0.3	0.3	0.3	0.69
"313"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"GIF3"	"GIF3OR"	"GIF3OR"	"Chloroflexi"	-0.46	0.69	0.49	0.16	0.16	0.16	0.69
"314"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"GIF9"	"AB-539-J10"	"AB-539-J10FA"	"Chloroflexi"	-0.46	0.69	0.49	0.33	0.42	0.42	0.69
"315"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"GIF9"	"GIF9OR"	"GIF9OR"	"Chloroflexi"	-0.46	0.69	0.49	0.33	0.25	0.25	0.69
"316"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__MSBL5;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"MSBL5"	"MSBL5OR"	"MSBL5OR"	"Chloroflexi"	-0.46	0.69	0.49	-0.18	-0.18	-0.18	0.69
"317"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	"S085OR"	"S085OR"	"Chloroflexi"	-0.46	0.69	0.49	0.37	0.37	0.37	0.69
"318"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SAR202 clade;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"SAR202 clade"	"SAR202 cladeOR"	"SAR202 cladeOR"	"Chloroflexi"	-0.46	0.69	0.49	0.17	0.17	0.17	0.69
"319"	"k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__vadinBA26;f__;g__"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"vadinBA26"	"vadinBA26OR"	"vadinBA26OR"	"Chloroflexi"	-0.46	0.69	0.49	0.21	0.21	0.21	0.69
"320"	"k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"Gitt-GS-136"	"Gitt-GS-136CL"	"Gitt-GS-136CL"	"Gitt-GS-136CL"	"Chloroflexi"	-0.46	0.69	-0.44	-0.44	-0.44	-0.44	0.69
"321"	"k__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"JG30-KF-CM66"	"JG30-KF-CM66CL"	"JG30-KF-CM66CL"	"JG30-KF-CM66CL"	"Chloroflexi"	-0.46	0.69	0.35	0.35	0.35	0.35	0.69
"322"	"k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"KD4-96"	"KD4-96CL"	"KD4-96CL"	"KD4-96CL"	"Chloroflexi"	-0.46	0.69	0.42	0.42	0.42	0.42	0.69
"323"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__;g__"	"Bacteria"	"Chloroflexi"	"Ktedonobacteria"	"C0119"	"C0119OR"	"C0119OR"	"Chloroflexi"	-0.46	0.69	0.45	0.45	0.45	0.45	0.69
"324"	"k__Bacteria;p__Chloroflexi;c__OLB14;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"OLB14"	"OLB14CL"	"OLB14CL"	"OLB14CL"	"Chloroflexi"	-0.46	0.69	0.17	0.17	0.17	0.17	0.69
"325"	"k__Bacteria;p__Chloroflexi;c__SHA-26;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"SHA-26"	"SHA-26CL"	"SHA-26CL"	"SHA-26CL"	"Chloroflexi"	-0.46	0.69	0.46	0.46	0.46	0.46	0.69
"326"	"k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__"	"Bacteria"	"Chloroflexi"	"TK10"	"TK10CL"	"TK10CL"	"TK10CL"	"Chloroflexi"	-0.46	0.69	0.24	0.24	0.24	0.24	0.69
"327"	"k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"Cloacimonadaceae"	"CloacimonadaceaeFA"	"Cloacimonadota"	-0.46	0.23	0.23	0.23	0.12	0.12	0.23
"328"	"k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__;g__"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"CloacimonadalesOR"	"CloacimonadalesOR"	"Cloacimonadota"	-0.46	0.23	0.23	0.23	0.19	0.19	0.23
"329"	"k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__MSBL8;g__"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"MSBL8"	"MSBL8FA"	"Cloacimonadota"	-0.46	0.23	0.23	0.23	-0.12	-0.12	0.23
"330"	"k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__PBS-18;g__"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"PBS-18"	"PBS-18FA"	"Cloacimonadota"	-0.46	0.23	0.23	0.23	0.24	0.24	0.23
"331"	"k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	"ChloroplastOR"	"ChloroplastOR"	"Cyanobacteria"	-0.46	-0.01	-0.02	0.01	0.01	0.01	-0.01
"332"	"k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum AO1-A"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Desertifilaceae"	"Roseofilum AO1-A"	"Cyanobacteria"	-0.46	-0.01	-0.02	-0.22	-0.22	-0.22	-0.01
"333"	"k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Phormidium ETS-05"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Oscillatoriaceae"	"Phormidium ETS-05"	"Cyanobacteria"	-0.46	-0.01	-0.02	-0.22	-0.22	-0.22	-0.01
"334"	"k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium PCC-6307"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	"Cyanobacteria"	-0.46	-0.01	-0.02	-0.43	-0.43	-0.43	-0.01
"335"	"k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__"	"Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Gastranaerophilales"	"GastranaerophilalesOR"	"GastranaerophilalesOR"	"Cyanobacteria"	-0.46	-0.01	0.09	0.29	0.29	0.29	-0.01
"336"	"k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__"	"Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Obscuribacterales"	"Obscuribacteraceae"	"ObscuribacteraceaeFA"	"Cyanobacteria"	-0.46	-0.01	0.09	-0.49	-0.49	-0.49	-0.01
"337"	"k__Bacteria;p__Dadabacteria;c__Dadabacteriia;o__Dadabacteriales;f__;g__"	"Bacteria"	"Dadabacteria"	"Dadabacteriia"	"Dadabacteriales"	"DadabacterialesOR"	"DadabacterialesOR"	"Dadabacteria"	-0.46	-0.51	-0.51	-0.51	-0.51	-0.51	-0.51
"338"	"k__Bacteria;p__Deferrisomatota;c__Defferrisomatia;o__Defferrisomatales;f__Defferrisomataceae;g__Deferrisoma"	"Bacteria"	"Deferrisomatota"	"Defferrisomatia"	"Defferrisomatales"	"Defferrisomataceae"	"Deferrisoma"	"Deferrisomatota"	-0.46	0.12	0.12	0.12	0.12	0.12	0.12
"339"	"k__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera"	"Bacteria"	"Deinococcota"	"Deinococci"	"Deinococcales"	"Trueperaceae"	"Truepera"	"Deinococcota"	-0.46	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
"340"	"k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Babeliaceae"	"BabeliaceaeFA"	"Dependentiae"	-0.46	0.24	0.24	0.24	0.09	0.09	0.24
"341"	"k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"BabelialesOR"	"BabelialesOR"	"Dependentiae"	-0.46	0.24	0.24	0.24	0.39	0.39	0.24
"342"	"k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"UBA12409"	"UBA12409FA"	"Dependentiae"	-0.46	0.24	0.24	0.24	0.03	0.03	0.24
"343"	"k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Vermiphilaceae"	"VermiphilaceaeFA"	"Dependentiae"	-0.46	0.24	0.24	0.24	0.05	0.05	0.24
"344"	"k__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo"	"Bacteria"	"Desulfobacterota"	"Desulfarculia"	"Desulfarculales"	"Desulfarculaceae"	"Desulfocarbo"	"Desulfobacterota"	-0.46	0.21	-0.3	-0.3	-0.3	-0.3	0.21
"345"	"k__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae;g__Desulfobacca"	"Bacteria"	"Desulfobacterota"	"Desulfobaccia"	"Desulfobaccales"	"Desulfobaccaceae"	"Desulfobacca"	"Desulfobacterota"	-0.46	0.21	-0.17	-0.17	-0.17	-0.17	0.21
"346"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfatiglandales"	"Desulfatiglandaceae"	"Desulfatiglans"	"Desulfobacterota"	-0.46	0.21	0.01	-0.02	-0.02	-0.02	0.21
"347"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacter"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	0.11	0.12	0.21
"348"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"DesulfobacteraceaeFA"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	0.11	-0.06	0.21
"349"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacterium"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	0.11	0.11	0.21
"350"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfoconvexum"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfoconvexum"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	0.11	0.09	0.21
"351"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"DesulfobacteralesOR"	"DesulfobacteralesOR"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	-0.02	-0.02	0.21
"352"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfococcaceae"	"DesulfococcaceaeFA"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	-0.19	-0.04	0.21
"353"	"k__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfococcaceae"	"Desulfococcus"	"Desulfobacterota"	-0.46	0.21	0.01	0.02	-0.19	-0.2	0.21
