"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"818"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"Euryarchaeota"	0.415608657847717	0.446198285232261	0.432389166664491	0.432389166664491	0.432389166664491	0.451345067235113	0.446198285232261
"262"	"k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Candidatus Methanofastidiosum"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Methanofastidiosales"	"Methanofastidiosaceae"	"Cand. Methanofastidiosum"	"Euryarchaeota"	0.415608657847717	0.446198285232261	0.411694471288872	0.411694471288872	0.411694471288872	0	0.446198285232261
"602"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	0.415608657847717	0.56117008059521	0.448935558276807	0.448935558276807	0.446471632887195	0.446471632887195	0.56117008059521
"613"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloferacaceae"	"HaloferacaceaeFA"	"Halobacterota"	0.415608657847717	0.56117008059521	0.448935558276807	0.448935558276807	0.323083007649407	0.323083007649407	0.56117008059521
"819"	"k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella"	"Archaea"	"Halobacterota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	"Methanocella"	"Halobacterota"	0.415608657847717	0.56117008059521	0.346264407385882	0.346264407385882	0.346264407385882	-0.191698963504803	0.56117008059521
"1129"	"k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice Cluster I"	"Archaea"	"Halobacterota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	"Rice Cluster I"	"Halobacterota"	0.415608657847717	0.56117008059521	0.346264407385882	0.346264407385882	0.346264407385882	0	0.56117008059521
"827"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"MethanomicrobialesOR"	"MethanomicrobialesOR"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0.526143615811601	0.526143615811601	0.56117008059521
"820"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0.240305491645336	0.240305491645336	0.56117008059521
"821"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanogenium"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0	0	0.56117008059521
"828"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanomicrobium"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0	0	0.56117008059521
"822"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0.494499828257798	0.504237838464817	0.56117008059521
"829"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0.494499828257798	0.483391283280902	0.56117008059521
"832"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	"Methanospirillum"	"Halobacterota"	0.415608657847717	0.56117008059521	0.520284358208157	0.520284358208157	0.4966005556059	0.4966005556059	0.56117008059521
"263"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanoperedenaceae;g__Candidatus Methanoperedens"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanoperedenaceae"	"Cand. Methanoperedens"	"Halobacterota"	0.415608657847717	0.56117008059521	0.559932423157593	0.559932423157593	0.320453301969071	0	0.56117008059521
"830"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosaetaceae"	"Methanosaeta"	"Halobacterota"	0.415608657847717	0.56117008059521	0.559932423157593	0.559932423157593	0.462868695688019	0.462868695688019	0.56117008059521
"140"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__ANME-3"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"ANME-3"	"Halobacterota"	0.415608657847717	0.56117008059521	0.559932423157593	0.559932423157593	0.493886061532599	0	0.56117008059521
"823"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanolobus"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"Methanolobus"	"Halobacterota"	0.415608657847717	0.56117008059521	0.559932423157593	0.559932423157593	0.493886061532599	0.164503402835688	0.56117008059521
"831"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"Methanosarcina"	"Halobacterota"	0.415608657847717	0.56117008059521	0.559932423157593	0.559932423157593	0.493886061532599	0.509649109633785	0.56117008059521
"107"	"k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"WoesearchaealesOR"	"WoesearchaealesOR"	"Nanoarchaeota"	0.415608657847717	0	0	0	0	0	0
"596"	"k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15;g__"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"GW2011_GWC1_47_15"	"GW2011_GWC1_47_15FA"	"Nanoarchaeota"	0.415608657847717	0	0	0	0	0	0
"145"	"k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011;g__AR15"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"GW2011"	"AR15"	"Nanoarchaeota"	0.415608657847717	0	0	0	0	0	0
"1182"	"k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC AAA011-D5;g__"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"SCGC AAA011-D5"	"SCGC AAA011-D5FA"	"Nanoarchaeota"	0.415608657847717	0	0	0	0	0	0
"33"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__;f__;g__"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"ThermoplasmataCL"	"ThermoplasmataCL"	"ThermoplasmataCL"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0	0	0	0.318830933017102
"784"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine Benthic Group D and DHVEG-1;f__;g__"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"Marine Benthic Group D and DHVEG-1"	"Marine Benthic Group D and DHVEG-1OR"	"Marine Benthic Group D and DHVEG-1OR"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0	0	0	0.318830933017102
"825"	"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__;g__"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"Methanomassiliicoccales"	"MethanomassiliicoccalesOR"	"MethanomassiliicoccalesOR"	"Thermoplasmatota"	0.415608657847717	0.318830933017102	0.318830933017102	0.414131821212033	-0.175575248358912	-0.175575248358912	0.318830933017102
