Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__CenarchaeaceaeFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	CenarchaeaceaeFA	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	0	0.197544306516647	-0.186206668615341	otu_2992
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__CenarchaeaceaeFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	CenarchaeaceaeFA	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	0	0.197544306516647	-0.226275697350502	otu_553
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	-0.390558272600174	otu_123
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	-0.197567880153656	otu_1158
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	0	otu_122
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	-0.238885566592216	otu_3807
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	-0.302116066217422	otu_93
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	-0.484098017215729	-0.527282238006592	0.197544306516647	-0.510606169700623	otu_2593
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__SAGMA-XFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	SAGMA-XFA	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.482990682125092	0	0	0.197544306516647	-0.28185161948204	otu_1862
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.191072657704353	0.191072657704353	0	0.197544306516647	0.332678884267807	otu_200
