"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"64"	"k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Cand. Methanofastidiosum"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Methanofastidiosales"	"Methanofastidiosaceae"	"Cand. Methanofastidiosum"	"Euryarchaeota"	0	0.409255402195877	0.553999411623095	0.553999411623095	0.553999411623095	0	0.409255402195877
"351"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	0	0.671187878866376	0.606659682755014	0.606659682755014	0.603746104511102	0.603746104511102	0.671187878866376
"359"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloferacaceae"	"HaloferacaceaeFA"	"Halobacterota"	0	0.671187878866376	0.606659682755014	0.606659682755014	0.605276926716326	0.605276926716326	0.671187878866376
"771"	"k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice Cluster I"	"Archaea"	"Halobacterota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	"Rice Cluster I"	"Halobacterota"	0	0.671187878866376	0	0	0	0	0.671187878866376
"519"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"MethanomicrobialesOR"	"MethanomicrobialesOR"	"Halobacterota"	0	0.671187878866376	0.465342733130407	0.465342733130407	0.499998481202632	0.499998481202632	0.671187878866376
"514"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Halobacterota"	0	0.671187878866376	0.465342733130407	0.465342733130407	0.471649134495263	0.471649134495263	0.671187878866376
"515"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	0	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.598575759994731	0.671187878866376
"520"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"Halobacterota"	0	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.393880019412175	0.671187878866376
"523"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	"Methanospirillum"	"Halobacterota"	0	0.671187878866376	0.465342733130407	0.465342733130407	0.61307488966417	0.61307488966417	0.671187878866376
"65"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanoperedenaceae;g__Cand. Methanoperedens"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanoperedenaceae"	"Cand. Methanoperedens"	"Halobacterota"	0	0.671187878866376	0.721491865005751	0.721491865005751	0.598785985323511	0	0.671187878866376
