SampleID	HydA	DsrAB.red	DsrAB.ox	NxrA.other	NxrB.other	NOB.nxr	AmoA.Ic	amoA.AOB	amoA.AOA	p.amo.unk	emoA	pxmA	MOB.III	MOB.IIb	MOB.IIa	MOB.Ic	MOB.Ib	MOB.Ia	mcr.Ac	mcr.H2	pmoA_MOB	mcrA
WestPond_CattailB_D1	2705.959149	318.8678672	900.1337474	4.246419737	1023.321345	32.33801542	2.240856186	9.845547966	0	13.51241791	6.71202504	157.053561	2.711085085	0	62.63340916	2.651436814	11.76415228	88.05956349	18.34413599	140.5246053	167.8196468	158.8687413
WestPond_CattailB_D2	9399.069154	2078.938446	1768.194016	487.3307184	697.9083277	25.75851677	2.603278569	0	0	6.664075082	7.710595644	70.65702198	0	0	60.71372949	0	30.14878425	86.985142	104.2708858	402.732262	177.8476557	507.0031478
WestPond_CattailC_D2	7333.930809	2300.888148	1103.554164	419.242749	1103.712708	5.415592574	4.71139191	0	3.008043508	0	5.828094524	136.2150381	0	0	132.0040733	6.110825939	15.73787004	86.54680782	99.51601237	572.4372857	240.3995771	671.9532981
WestPond_TuleA_D1	4069.199828	387.4111088	517.4773374	10.14986272	647.6412347	9.967381743	0	2.996506074	0	0	17.04037148	118.0531617	0	0	26.45424885	5.40266027	27.12105111	78.06450001	61.14498349	260.5568969	137.0424602	321.7018804
MayberryNE_TuleA_D1	4611.653644	430.3981414	385.2998917	4.943581378	529.1142225	12.73925921	2.23734168	2.240856186	4.922773983	6.929574732	6.604467262	24.32235224	0	0	22.5945015	0	29.16580495	41.17453296	99.27474285	382.9181593	92.93483942	482.1929022
MayberryNE_TuleA_D2	2224.911474	657.7581701	253.8838524	10.26335776	1551.409311	42.14752159	2.570198548	2.603278569	65.75963719	0	9.403799135	4.442716721	0	0	7.10994824	0	17.18316394	0	264.027114	118.3062842	24.29311218	382.3333982
MayberryNE_TuleB_D1	9010.308906	575.76739	494.7137036	0	354.2621728	NA	0	4.71139191	2.480287912	5.415592574	0	35.31774938	0	0	9.583478084	0	42.77578157	13.1148917	151.3468519	390.6298186	65.47415136	541.9766705
MayberryNE_TuleB_D2	3876.299852	819.5580166	308.0490414	0	807.0709832	20.29972545	5.680123827	12.51711716	35.95807289	9.967381743	6.245160001	14.19056989	0	0	33.17175922	0	8.103990405	0	60.54686986	262.3196552	41.27574963	322.8665251
MayberryNE_TuleC_D1	5062.963083	477.0379612	296.6838166	5.751241549	520.6005996	32.13327895	2.201489087	2.23734168	2.240856186	0	11.76415228	53.12673961	0	0	65.06604203	0	67.64408189	34.46867858	92.68644177	557.8899888	167.1788025	650.5764306
MayberryNE_TuleC_D2	2626.030717	430.7467608	100.1791081	2.745857188	579.1833045	41.05343104	2.350949784	2.570198548	182.2294998	2.6342201	40.198379	8.586172256	0	0	42.55703973	0	10.55890948	2.863860656	42.11579211	159.2466343	55.97980986	201.3624264
MayberryNE_CattailA_D1	1197.116365	237.1565692	146.3809384	2.346107104	1600.057715	151.1935217	0	0	146.0531492	2.466133817	2.622978339	2.707796287	0	0	11.78269181	0	10.47651375	0	11.27955243	46.80704711	22.25920557	58.08659953
MayberryNE_CattailA_D2	643.5631861	187.6298707	94.41244911	2.603454784	1195.064776	165.4047758	0	0	72.59927951	0	19.72440081	2.491845436	0	0	0	0	0	0	15.19915232	17.58497941	0	32.78413173
MayberryNE_CattailB_D1	1827.422344	286.7943561	177.1927604	0	1198.635684	135.1541764	0	4.402978174	196.8860678	7.415372066	5.302873627	4.246419737	0	0	5.711038581	0	15.063001	0	25.37409489	66.59307278	20.77403958	91.96716768
MayberryNE_CattailB_D2	490.6519395	176.0723718	103.5438548	0	1165.457442	137.2928594	0	2.350949784	115.6589347	4.105343104	2.863860656	0	0	0	0	0	0	0	21.51023349	6.268911216	0	27.77914471
MayberryNE_CattailC_D1	724.2200609	215.4285509	107.9909288	2.576582473	1475.403937	180.650247	0	0	79.65062516	6.047740866	42.77578157	14.7968029	0	0	11.94868756	0	11.9793476	4.190605501	4.111892828	18.34576259	28.11864066	22.45765542
MayberryNE_CattailC_D2	470.4748996	252.6921432	183.5811679	0	1226.710236	132.776194	0	3.12258	210.1645816	2.329644729	5.40266027	0	0	0	11.80531617	0	0	0	57.31353812	13.39471088	11.80531617	70.70824899
MayberrySE_CattailA_D1	1911.138252	460.7011771	532.6872585	2.313968502	1853.109003	104.1201199	0	2.941038069	55.03722718	0	5.010672733	14.83074413	2.123209869	0	43.23973732	0	5.422170169	5.021000334	59.34999881	74.11746423	55.80611769	133.467463
MayberrySE_CattailA_D2	610.1818403	225.6725041	98.05123177	0	1437.724288	155.3906427	0	2.512398688	218.6383299	0	5.279454738	10.26335776	0	0	17.77086689	2.208031937	0	0	32.27972317	11.22287221	19.97889882	43.50259538
MayberrySE_CattailB_D1	897.6189621	165.9860572	177.8990127	2.399030792	1568.293442	175.2076081	0	5.245956679	78.91032478	4.692214209	10.47651375	15.11935217	0	0	2.207359336	0	0	0	30.52633507	29.6417791	2.207359336	60.16811417
MayberrySE_TuleA_D1	1904.910003	358.8177373	194.3812705	5.253577029	2150.742398	83.17300642	0	2.465550101	99.92256002	2.603454784	5.878721966	13.97786838	2.537465681	0	30.74623477	0	12.51213677	10.36617476	15.0728395	49.71007331	56.16201198	64.7829128
MayberryNW_TuleA_D1	1609.922795	348.8155144	89.90997173	18.34761389	845.5488774	62.47714956	0	5.302873627	73.52595172	13.01501499	5.021000334	5.751241549	2.471790689	0	0	0	0	0	115.2572414	100.014002	2.471790689	215.2712433
MayberryNW_TuleA_D2	1879.71921	693.0439336	504.1987203	861.4935217	2194.833187	250.0981635	0	2.863860656	356.7606136	0	0	0	0	0	0	0	0	2.659814983	185.9776994	102.1757039	2.659814983	288.1534033
MayberryNW_TuleB_D1	2633.778763	896.337333	444.5432318	752.2708379	1466.571289	86.3651085	0	12.22165188	73.4433935	5.153164945	11.9793476	0	0	0	10.83118515	0	0	14.72836477	130.7135584	158.2330281	25.55954992	288.9465866
MayberryNW_TuleB_D2	1490.901606	685.8881974	278.3208741	1027.76362	2082.627554	244.2913319	0	0	283.5382616	6.56628998	8.292939806	13.01727392	0	0	0	0	0	0	167.4338859	18.04826105	0	185.482147
MayberryNW_TuleC_D1	1722.445602	229.5070331	137.5913262	0	1134.033667	190.8151845	0	5.010672733	289.0066127	2.313968502	21.68868068	2.169169165	0	0	4.246419737	0	0	8.566557871	114.7625253	41.49024215	12.81297761	156.2527674
MayberryNW_TuleC_D2	1510.880344	631.8997063	403.6112586	1284.114022	2171.76598	273.8522453	0	2.639727369	243.4281558	2.500981635	2.659814983	2.354403677	0	0	0	0	0	0	126.2573124	56.61190081	0	182.8692132
MayberryNW_CattailA_D1	2759.715453	533.9940041	370.6632401	5.523808998	651.9452366	38.25105955	0	2.09530275	48.88660751	0	5.891345907	10.30632989	0	3.023870433	0	0	4.414718672	9.558950045	83.98504078	95.23809524	16.99753915	179.223136
MayberryNW_CattailA_D2	2224.27711	754.4565842	418.3849008	1038.53694	2280.856935	282.8450289	2.073234951	5.878721966	272.8343436	18.3875196	15.01456413	10.94381663	2.603454784	0	0	0	0	4.722126468	93.5719027	42.1648945	7.325581252	135.7367972
MayberryNW_CattailB_D1	1826.592057	302.7009177	248.1756303	5.062650297	1081.598494	64.28149361	0	7.531500501	120.2561456	11.00856834	14.27759645	4.627937005	0	0	0	0	0	8.107450747	42.50595083	92.89168829	8.107450747	135.3976391
MayberryNW_CattailB_D2	1486.175267	767.7717927	275.1957698	870.8303686	1686.926874	230.7155217	0	0	290.3700106	2.852627555	11.04015968	5.001963271	0	0	0	0	0	8.885433443	223.5093523	44.81712373	8.885433443	268.326476
MayberryNW_CattailC_D1	3266.308502	1125.717988	755.7597838	659.9445647	1562.318252	140.8571294	2.945672954	0	138.2899815	5.100141274	0	2.399030792	0	0	0	0	21.6623703	8.829437344	155.5048725	62.47868566	30.49180764	217.9835581
MayberryNW_CattailC_D2	703.852789	320.4650304	159.8713823	892.8720439	2099.317722	358.2119393	0	0	235.1488786	11.20178332	4.722126468	5.253577029	0	0	0	0	0	4.730189964	78.20913122	14.13417573	4.730189964	92.34330695
Browns_TuleA_D1	73.38204066	89.23168729	205.7158913	2.703996236	669.5926842	131.6289077	0	13.55542542	120.504008	51.91966791	5.404967165	18.34761389	2.313968502	0	0	0	4.246419737	6.929574732	2.183696955	0	13.48996297	2.183696955
Browns_TuleA_D2	904.331993	791.1878383	773.2246075	430.0883575	926.9330186	252.2222104	2.208031937	7.97944495	49.76963768	30.35730549	6.664075082	82.7261991	0	0	74.13814408	0	10.5368804	37.20674644	0	13.42405008	121.8817709	13.42405008
Browns_TuleB_D1	175.7218323	86.53737982	180.9808459	0	805.0569503	129.9890809	2.389737511	26.51105658	117.3976065	52.47618548	6.622078008	5.100141274	0	0	4.692214209	0	4.932267635	5.415592574	NA	NA	15.04007442	#VALUE!
Browns_TuleB_D2	271.5050952	267.9534437	711.043603	422.0850446	1055.779183	264.2456205	2.361063234	0	105.7349825	38.87571434	7.095284947	25.20401248	2.626788515	0	23.43109306	0	2.537465681	2.491845436	NA	NA	31.08719269	#VALUE!
Browns_TuleC_D1	303.9454348	142.9976318	322.0414985	2.366051888	827.8411462	135.1998118	5.404967165	34.26623149	67.77712712	53.15782812	9.239432976	27.19601653	3.669522779	0	36.8758758	0	2.471790689	12.73925921	23.97204859	8.52018574	55.75644848	32.49223433
Browns_TuleC_D2	909.1288825	1404.137938	923.5421316	429.3395217	1581.063652	155.990596	2.221358361	0	26.59814983	2.654970636	0	24.28584439	2.852627555	0	65.92330295	0	0	7.902660299	26.89027424	13.20893452	76.6785908	40.09920876
Browns_ThreeSqA_D1	248.0738222	242.4791916	740.3020432	496.0451916	1221.815865	200.7065784	0	16.72816258	91.31586157	35.99697625	5.415592574	66.28570797	0	0	18.03607731	0	3.023870433	19.72907054	5.206557138	0	40.78901828	5.206557138
Browns_ThreeSqA_D2	761.0778484	1411.893033	1982.844465	466.9350201	1072.667671	258.2494023	0	4.722126468	32.53155561	30.59686132	4.983690872	69.42091847	0	0	142.2696162	5.206909569	9.318578917	60.89917634	9.42278382	17.81846043	217.6942811	27.24124425
Browns_ThreeSqB_D1	306.0651066	209.9384452	441.2210793	392.1352798	1070.780247	170.3557359	0	13.51241791	62.82142439	40.55994354	8.492839475	60.75180357	2.472365139	0	4.627937005	0	5.751241549	29.66148827	0	3.12258	42.51303196	3.12258
Browns_ThreeSqB_D2	920.2795942	2053.143395	1576.080221	679.7663303	1449.692002	167.3323264	0	11.1067918	37.53654293	28.96968211	7.902660299	84.95906035	6.071461097	0	55.02159598	2.354403677	2.745857188	39.00075949	13.42405008	11.76415228	105.1940774	25.18820236
Browns_ThreeSqC_D1	289.9207726	519.4250402	1064.833208	667.1938322	1413.44387	311.7223882	0	8.829437344	97.97923796	41.05361831	4.932267635	33.99714424	0	0	23.99030792	0	0	9.0716113	7.710595644	2.512398688	33.06191922	10.22299433
Browns_ThreeSqC_D2	553.0339135	1345.189637	1758.491698	509.6284163	1101.086	207.0155262	0	21.28585484	106.2478455	27.76875293	10.14986272	33.37839417	0	0	18.3875196	0	2.603454784	16.3075131	9.713490873	2.622978339	37.29848749	12.33646921
RushSE_TuleA_D1	1485.875015	696.7616211	612.9264698	5.576980455	1264.400112	68.79566312	0	11.54929122	2.702483582	2.366051888	7.415372066	45.96793601	0	0	18.34761389	0	2.169169165	43.13431162	2.840061913	2.465550101	63.65109468	5.305612015
RushSE_TuleA_D2	1976.181551	2564.834821	931.8119003	589.7052211	1088.681273	69.7974357	0	8.586172256	0	15.41218796	8.210686208	35.65499337	0	0	14.26313778	0	2.354403677	10.98342875	2.201489087	7.954310441	27.6009702	10.15579953
RushSE_TuleB_D1	1536.430142	799.9762169	642.9344884	2.884579327	704.5953321	65.89568713	0	13.53898144	8.829437344	35.23818301	6.047740866	27.36907887	0	0	5.100141274	0	2.576582473	11.73053552	NA	NA	19.40725927	#VALUE!
