"filename","file_id","JGI Grouping ID","directory/path","Short Organism Name","Genome/Metagenome Name","md5 checksum","file size"
"8551.1.104021.TACAGC.anqdp.fastq.gz","5484c42d0d87850ddcd6c85e","IMG_SP-1048007","MayberryNW_TuleC_3/Filtered_Raw_Data","MayberryNW_TuleC_3","MayberryNW_TuleC_D2","313d72690d10e4feaab86039e42b7d80","5812939693"
"8551.1.104021.TCATTC.anqdp.fastq.gz","5484cf780d87850ddcd6c866","IMG_SP-1048013","Muzzi_PWA_D1_3/Filtered_Raw_Data","Muzzi_PWA_D1_3","Muzzi_PWA_D1","beac59b7ecf8e4f42a41f200f4043de2","6253265878"
"8551.1.104021.TCCCGA.anqdp.fastq.gz","5484e1b20d87850ddcd6c886","IMG_SP-1048016","Muzzi_CordB_D2_3/Filtered_Raw_Data","Muzzi_CordB_D2_3","Muzzi_CordB_D2","eeb73197418e5c8900346c314d308ae8","5108327041"
"8551.1.104021.TCGAAG.anqdp.fastq.gz","5484e7500d87850ddcd6c888","IMG_SP-1048019","Wetmici_CordC_D2/Filtered_Raw_Data","Wetmici_CordC_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Muzzi_CordC_D2","1ddcad9d48ed222c8afada7155d1120f","5960867776"
"8550.1.104089.CACGAT.anqdp.fastq.gz","548672dd0d87850ddcd6d0c0","IMG_SP-1047971","Joice_ThreeSqA_D_9/Filtered_Raw_Data","Joice_ThreeSqA_D_9","Joice_ThreeSqA_D2","69b3d68b2e116119c4514f7c1357ebba","6027390946"
"8571.1.104353.GCCAAT.anqdp.fastq.gz","54b83ea00d8785565d472903","IMG_SP-1047899","WetmichreeSqB_D2/Filtered_Raw_Data","WetmichreeSqB_D2","Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Browns_ThreeSqB_D2","9483933f6b8bb722bb158ce6a2a54195","5352647252"
"8571.1.104353.CAGATC.anqdp.fastq.gz","54b842ad0d8785565d472911","IMG_SP-1047902","WetmichreeSqC_D2/Filtered_Raw_Data","WetmichreeSqC_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Browns_ThreeSqC_D2","f2be98b07a26b4d47284c583e6c72940","5457990310"
"8572.1.104365.ATGTCA.anqdp.fastq.gz","54b849d00d8785565d47292f","IMG_SP-1047923","Wetmics_CordA_D2/Filtered_Raw_Data","Wetmics_CordA_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - China_Galinas_CordA_D2","475faba5f7970a3c28d892d0cda56960","7643816075"
"8572.1.104365.GGTAGC.anqdp.fastq.gz","54b83ed60d8785565d472908","IMG_SP-1047950","Goodyear_PhragA__3/Filtered_Raw_Data","Goodyear_PhragA__3","Goodyear_PhragA_D2","95914ed3faca6b84f0da3bd679659cb5","5346027758"
"8550.1.104089.CACTCA.anqdp.fastq.gz","5486798a0d87850ddcd6d0ca","IMG_SP-1047974","Joice_ThreeSqB_D_3/Filtered_Raw_Data","Joice_ThreeSqB_D_3","Joice_ThreeSqB_D1","5b5d29ee2ee37f296beb7946a82e5364","4927997177"
