Guild	Index	color
"mcr.H2"	1	"#CD4F39"
"mcr.Ac"	2	"#8B3626"
"MOB.Ia"	3	"#63B8FF"
"MOB.Ib"	4	"#00D0FF"
"MOB.Ic"	5	"#00E4EA"
"MOB.IIb"	6	"#4F94CD"
"MOB.IIa"	7	"#36648B"
"MOB.III"	8	"#8986DC"
"pxmA"	9	"#9B6AC0"
"emoA"	10	"#836FFF"
"p.amo.unk"	11	"#79FAC5"
"amoA.AOA"	12	"#7CFC00"
"amoA.AOB"	13	"#00CD00"
"amoA.Ic"	14	"#A6F991"
"NOB.nxr"	15	"#008B00"
"NxrA.other"	16	"#9FACBD"
"NxrB.other"	17	"#00FF7F"
"DsrAB.red"	18	"#8B008B"
"DsrAB.ox"	19	"#CD69C9"
"HydA"	20	"#CD6600"
