"Sample" "CH4_ug_m2_h" "CH4_logn1" "CO2_mg_m2_h" "CH4_CO2" "Bulk_dens" "H2O_FPS" "pH" "C" "N" "P" "CN" "NP" "NO3_N" "NH4_N" "Olsen_P" "NP_ext" "Salinity.x" "Cl" "SO4" "SO4_pw" "Fe" "Fe_pw" "DOC_mg_L" "CH4_mix" "CH4_H2" "CH4_ac" "CH4_me" "MOB_I" "MOB_II" "MOB_IIa" "ANME" "AOA" "AOB" "NOB" "Anamx" "SOxB" "SRB_syn" "SRB" "FeOB" "FeRB" "Actino" "Chlorf" "Firmic" "AO_NOB" "NOB_AO" "mcr_pmo" "pmo_mcr" "CH4_all" "CH4_ac_mix" "MOB_all"
"1" "China_Bullhead_CordA_D1" 0.231730750726682 0.314588566231652 -0.315470894736084 -0.452798354392473 -0.291246715598392 1.88846670354907 0.854306041801081 0.378397900948138 -0.627087997029893 -1.21467016498923 1.12036522000218 0.932234333327648 -0.468521082957745 1.09968064110925 1.01283722470517 2.67104729929805 1.39746794997364 2.89590850705862 3.20303288701471 3.10245377332764 4.6733895781883 2.17061370337741 1.08919836680515 3.18958815659987 3.18958815659987 3.18958815659987 1 12.0161366438908 11.9937191777832 6.18958815659987 3.18958815659987 11.8225833537428 13.7867095853894 8.89002787474097 4.77455065732103 13.0208954004019 14.4160003493887 17.740154593831 5.77455065732103 10.0224781707646 16.0587964071507 15.6766744968711 12.6934138945956 5.22585627664002 -5.22585627664002 -8.82813648419411 8.82813648419411 4.87629664098824 4.18958815659987 13.017724640794
"2" "China_Bullhead_CordA_D2" 0.231730750726682 0.314588566231652 -0.315470894736084 -0.452798354392473 -0.249655677571273 1.85860652787129 0.848804701051804 0.414973347970818 -0.673664139071249 -1.30102999566398 1.27318447974461 0.972018021944178 -0.42021640338319 1.29512708525219 1.04532297878666 2.94955668688765 1.39746794997364 2.76075410950582 3.16521463991033 3.10245377332764 4.6733895781883 2.17061370337741 1.08919836680515 4.09469223556591 5.09469223556591 1 4.09469223556591 10.808937753232 12.2136333082894 7.00158283117442 1 10.398472983743 13.6123616236997 10.2545635723443 3.09469223556591 12.9619709752756 15.2577128751467 17.7300702714163 6.67965473628706 9.84957973772937 15.1017195024599 17.089399230824 15.2149301129079 3.50546458040679 -3.50546458040679 -7.52711726198433 7.52711726198433 6.13630635908482 4.25439762260423 12.7038709737079
"3" "China_Bullhead_CordB_D1" 0.254691625048257 0.333647444403537 -0.16139906866924 -0.583909306262657 -0.269671587644983 1.84035536981712 0.862727528317975 0.340444114840118 -0.669586226650809 -1.24412514432751 1.1445921537189 0.919191083036577 -0.585026652029182 1.20790353038605 1.15533603746506 2.80408361297605 1.30716987433942 2.73780467781992 3.10588470866923 3.22514639075118 4.65272969606925 2.3803559824168 0.962321972729585 5.52672636877301 4.94176386805186 2.94176386805185 1 10.9696698646217 12.4336169643815 5.94176386805185 1 10.1991517107445 13.656867877288 8.40119548668915 5.26369196293922 12.6949806172308 14.9926328313426 17.7246085470552 6.74911879010946 10.0607049407754 16.2989034580573 16.501021446087 13.7116017116813 5.38134630495775 -5.38134630495775 -7.62789861587175 7.62789861587175 6.4349369713017 5.74911879010946 12.891590578811
"4" "China_Bullhead_CordB_D2" 0.254691625048257 0.333647444403537 -0.16139906866924 -0.583909306262657 -0.231634645849734 1.80834866384875 0.847572659142112 0.369215857410143 -0.714442690992226 -1.30980391997149 1.26975936909951 0.94001339434618 -0.568636235841013 1.17464119266045 1.12385164096709 2.83733319301552 1.30716987433942 2.66900988305094 3.13871310987601 3.22514639075118 4.65272969606925 2.3803559824168 0.962321972729585 4.25779023038272 1 1 1 11.4574625752191 11.5524109792743 5.25779023038272 1 9.65010765316148 13.8483772802978 7.95822994852381 1 12.4914099071424 15.1142157590083 17.8026339507056 7.71722184902002 10.0391499439074 14.6490338198102 17.4193945343856 13.9958824900032 5.96667182393393 -5.96667182393393 -10.5151780730754 10.5151780730754 4.65135799648639 4.40124373290567 12.5151780730754
"5" "China_Bullhead_CordC_D1" 0.32448375641001 0.392587515232313 -0.31561612393876 -0.359900119657972 -0.273291039873182 1.8544357069658 0.857332496431269 0.346352974450639 -0.661543506395395 -1.26760624017703 1.11747555233754 0.950714899126384 -0.568636235841013 1.12936759572299 1.04921802267018 2.75070759351827 1.2570693061864 2.80045587331871 3.1973081315031 3.26883435457049 4.6862786780672 3.00366298333386 1.06370855939142 3.93867447742857 2.93867447742857 1 2.93867447742857 11.4543743157126 12.0524166434778 5.74602939948618 2.93867447742857 9.29622648204666 13.3680812189426 8.39810609606587 4.52363697814973 12.6004525752006 15.0376934684478 18.0630381571778 5.74602939948618 9.72003419095323 15.6933532412511 16.4490677884726 13.564383320493 5.0533088441662 -5.0533088441662 -9.52202201104718 9.52202201104718 5.02981777240953 4.11554358331644 12.7951000060541
"6" "China_Bullhead_CordC_D2" 0.32448375641001 0.392587515232313 -0.31561612393876 -0.359900119657972 -0.279436819343186 1.8589596487507 0.846955325019824 0.414973347970818 -0.688246138944246 -1.30102999566398 1.32555504055279 0.957436022089708 -0.455931955649724 1.23044892137827 1.09691001300806 2.88544409541586 1.2570693061864 2.7714992903069 3.14705767102836 3.26883435457049 4.6862786780672 3.00366298333386 1.06370855939142 6.39792061955044 5.01940899629671 2.69748090140935 4.69748090140935 11.2635349395804 11.7253868979792 5.50483582346695 2.69748090140935 9.50483582346695 13.7736284294319 8.45236840357282 1 12.7796299427632 15.0208171906895 17.6879394664831 6.39792061955044 9.97360530668359 14.9943971082886 17.2878925156774 14.2663870559114 5.39422448854342 -5.39422448854342 -7.24158598656976 7.24158598656976 7.22104285746636 6.50483582346695 12.5240293887003
"7" "China_Galinas_CordB_D1" 0.504950615151296 0.551075415859878 -0.283234502293854 -0.211814882673306 -0.29501987752225 1.90107173126449 0.842609239610562 0.480006942957151 -0.484126156288321 -1.13667713987954 1.07593692503772 0.997203148975567 -0.552841968657781 1.17551181336345 1.25285303097989 2.66534629406296 1.48875306595118 2.83732955187714 3.18423702901637 3.2385789792449 4.69844853801533 1.67357379642305 0.93293014283079 2.84443726778364 1 2.84443726778364 1 9.53093779496686 12.0538906334126 1 1 8.75132786339216 12.2216477981722 9.25382820392135 1 13.1607187995299 11.7573266040136 17.8131940466356 6.93190010903398 7.75132786339216 15.6153075991412 15.2935859131591 12.7377387986442 3.0924462487646 -3.0924462487646 -9.08703555643349 9.08703555643349 4.19884880438768 3.84443726778364 12.2858843608212
"8" "China_Galinas_CordB_D2" 0.504950615151296 0.551075415859878 -0.283234502293854 -0.211814882673306 -0.261720188700934 1.87845851458722 0.812913356642856 0.471291711058939 -0.54821356447571 -1.23657200643706 1.2514674225202 1.03301060731051 -0.468521082957745 0.893206753059848 1.26481782300954 2.49337678584928 1.48875306595118 2.7962550857702 3.20801114889284 3.2385789792449 4.69844853801533 1.67357379642305 0.93293014283079 3.02680460384025 1 3.02680460384025 1 9.53459924403895 13.5746631098987 3.02680460384025 1 9.13532906061842 11.6155192394225 9.53459924403895 1 12.9471574592553 12.9048555165688 17.9824545113686 8.38435660845834 8.15608762078522 16.0469164429283 16.465206626637 14.0786932597456 2.31875384709222 -2.31875384709222 -10.3172965418606 10.3172965418606 4.34341147132819 4.02680460384025 13.6607080131888
"9" "China_Galinas_CordC_D1" 0.410914019992456 0.467491278742808 0.0130395891378649 -0.602125569534082 -0.34693767674695 1.84915393199466 0.849419413796899 0.489958479424835 -0.478861916295964 -1.14266750356873 1.07838225692128 1.00845775261908 -0.537602002101044 1.1832698436828 1.25527250510331 2.67935217621995 1.46455408186913 2.82106131236537 3.13350697377835 3.34243413025308 4.69679308508174 2.28176037219993 0.953324696389185 4.36969394245383 3.78473144173267 1 1 9.29252608193137 13.427685665213 6.59208636379028 1 8.39944128584788 11.5329242913221 9.4285876315074 2.78473144173267 13.1411834119544 11.7184220966849 17.8091352773466 8.69162203734119 7.36969394245383 16.6876717648609 16.5304057657348 13.4104402847971 2.26002565596146 -2.26002565596146 -9.53921712967782 9.53921712967782 5.26511549073444 4.50291987926808 13.5194410619585
"10" "China_Galinas_CordC_D2" 0.410914019992456 0.467491278742808 0.0130395891378649 -0.602125569534082 -0.333742905664341 1.84053954415435 0.82865989653532 0.444044795918076 -0.554395796726402 -1.22184874961636 1.24441104869317 1.01210511819657 -0.54515513999149 0.877371345869774 1.16731733474818 2.46056675398372 1.46455408186913 2.81777684657749 3.20542091567634 3.34243413025308 4.69679308508174 2.28176037219993 0.953324696389185 5.03194022244276 5.03194022244276 3.03194022244276 4.03194022244276 10.9388308180513 13.3927873066224 5.83929514450036 1 8.70436556441426 12.9463253545982 9.22176478132278 1 12.3762361303586 13.3184979840507 17.6311557174605 10.2316125672791 8.8648302366075 15.2754117608391 16.995378220789 13.9941132535525 3.79886012789215 -3.79886012789215 -8.28725064325462 8.28725064325462 6.49137184108006 5.35386831733012 13.6411189605847
