"Sample"	"Crenothrix"	"Desulfatiglans"	"Desulfobacca"	"DesulfocapsaceaeFA"	"Desulfomonile"	"DesulfosarcinaceaeFA"	"DesulfuromonadaceaeFA"	"Ellin6067"	"GeobacteraceaeFA"	"GOUTA6"	"Leptolinea"	"Methyloceanibacter"	"Methylocystis"	"MethyloligellaceaeFA"	"Methylotenera"	"MND1"	"Rhodomicrobium"	"Sva1033FA"	"ThermodesulfovibrioniaCL"	"Thiobacillus"
"1"	"Browns_ThreeSqA_D1"	12.0072093442947	10.5206808026449	12.3114082447498	6.78114126481488	6.8806769383658	7.55874884347843	9.33133834737536	10.481580982956	13.8449215270003	13.4894861810413	6.29571443764464	10.2121910820824	11.7118786023778	13.669014634253	6.43321796139457	14.8161366861711	8.25918856161953	4.55874884347843	13.343383689036	7.97378634275728
"2"	"Browns_ThreeSqA_D2"	13.5445253553477	12.8576832406073	14.0763975377406	9.74220602318737	11.2048329809845	9.20908245398583	11.19629629903	9.88715435909847	13.2436710604494	14.0333111946078	7.9289745347931	10.8977236008087	14.1029014667929	14.2865265394112	6.70658211345665	13.7363294568507	9.30748615804683	8.25912313648543	15.6740965942576	11.7065821134566
"3"	"Browns_ThreeSqB_D1"	12.2697955970433	10.3603078899487	12.2147888300739	7.73581702504092	7.91638927068275	7.8289264294324	9.07685394287599	11.4619216265754	13.871953713027	13.5720778235449	5.15085452431977	9.68690742455998	11.5904776618769	13.5276310962028	6.15085452431977	14.9723096434222	7.63628135149	6.63628135149001	13.366144829971	8.2551911841345
"4"	"Browns_ThreeSqB_D2"	12.7825388990626	12.9468662108882	13.4432629107766	9.58528191564905	11.0554240143683	10.3687900957523	9.57340781536075	8.97647267297352	13.5295259257399	14.0404069787276	8.38246503264936	10.0295840094331	12.8493014325084	13.0490072726965	5.23950707880732	13.7786658899153	9.86399794371511	9.57340781536075	16.544713837816	10.8591157223354
"5"	"Browns_ThreeSqC_D1"	11.521231753884	11.6267248827313	12.9275369607997	7.40021635292265	8.68709750071081	7.07828825803529	9.42878550511942	9.06014091132503	14.4585328485135	13.0749029728506	5.56371508520553	10.4074118543269	11.8491173040678	14.0995458785958	5.07828825803529	14.5697405500727	7.34132266386908	5.07828825803529	14.3147808764166	8.18262491785003
"6"	"Browns_ThreeSqC_D2"	12.2991061748314	12.4443931896205	12.583273002567	7.39430795818415	8.6256335042906	8.6256335042906	8.67810092418474	8.84802592562705	13.8147259164709	13.940866946604	7.67810092418474	9.09956469262302	11.1468704074014	11.8480259256271	5.87074600212713	14.472052528249	7.04067100356945	5.19267409701449	16.2347438244855	11.4854558462423
"7"	"Browns_TuleA_D2"	11.7012049616281	11.6581362397362	13.3201147942726	9.81761445374344	11.0637750410128	8.80638719832019	7.26581881695749	7.39134969904134	15.1226687300664	14.1884707884622	8.01584056394913	10.9096750067322	12.51891419876	14.4823442312619	3.80638719832019	13.4466321345425	10.6705733429745	6.26581881695748	14.3913496990413	8.09178941718243
"8"	"Browns_TuleB_D1"	11.0846752285101	9.14085806390318	10.1508421524758	7.61478925223559	5.97093306246086	4.97093306246086	6.29286115734823	10.3372552767067	13.8030319085	13.7140844565734	5.29286115734823	8.49449501851788	9.27471381063797	11.936717347123	7.97093306246087	14.9974565049806	7.14085806390318	6.97093306246087	11.2883456762257	8.58564290657607
"9"	"Browns_TuleB_D2"	10.5111500725578	9.80219885456115	11.0675434210822	8.14615325577851	8.59361223274974	7.62532109247707	6.90911405847767	7.74561532619479	14.3591469791127	14.0996442642492	5.42368723130742	9.80219885456115	10.6331405969364	13.7311157564997	5.10175913642006	14.1931945227437	9.03249647398295	6.68672163714122	11.6601798496887	7.34968664986365
"10"	"Browns_TuleC_D1"	12.3886121960701	10.9866477510166	12.1416224109929	8.26120402674556	10.0401771474333	9.17681183945519	6.50221212624936	11.2815526721374	12.4812525076137	13.6920366851294	6.97169740955057	10.8129996635315	12.056800977927	14.4577502705952	9.06855894880317	14.51987712123	8.63466242227301	6.38673490882942	13.0986886149876	9.45998389086006
"11"	"Browns_TuleC_D2"	12.0947329128148	12.8451817363447	14.1960736476471	10.1501002232148	11.8545455756947	10.2507942228343	7.68195138747638	7.58241571392546	14.0395033920945	14.5084998747673	8.81945491122631	10.6205508428122	13.2818642296635	14.5779809904531	7.41891698164258	13.5046815354209	10.7350627239359	4.77506079186786	15.3705513984755	8.0604630107301
"12"	"MayberryNE_CattailA_D1"	10.0761932382768	11.9859265836541	9.31916999176934	9.71970792135306	8.74140299245238	11.2183456222498	10.2375562262157	8.34773914396611	12.374018468765	8.3757535201357	11.0889417310188	10.1831084421933	7.48266872405221	13.7786016104066	8.67531380199461	12.1530720684385	7.71970792135306	10.0240419562257	11.4235066515841	10.3964129907018
"13"	"MayberryNE_CattailA_D2"	6.67766026959695	11.2766979555298	9.21955404842622	8.04962904698391	8.08205052467628	9.5090606656212	12.8928363521342	8.17515992906777	8.2906371464877	11.1137593844036	7.11375938440362	11.7143187401758	6.59019742834661	14.5483876120403	4.91212552323397	13.295829815708	11.2766979555298	7.94774943296469	11.9433442538447	10.5030867645766
"14"	"MayberryNE_CattailB_D1"	9.91415044503119	12.4506144280612	10.2432147212002	9.94948351814347	9.28068942661884	11.773364337292	12.1219916805998	8.92602454531948	12.3126998215215	9.82817722192134	11.0231932043265	10.8344909958535	7.63914339753132	13.7443185897968	9.16521220919891	13.1513702840453	10.5802497084778	10.86565192734	11.9348664220713	10.6246438278362
